actual,proposed
0.034712374210357666,0.0
0.042439479380846024,0.0
0.04572610557079315,0.0
0.030574148520827293,0.06911692023277283
0.029749134555459023,0.06926128268241882
0.04203343018889427,0.06936836242675781
0.04980923980474472,0.07016536593437195
0.053143613040447235,0.07122323662042618
0.05210097134113312,0.07222923636436462
0.05546088144183159,0.07296071201562881
0.05880187451839447,0.0737362876534462
0.06212584301829338,0.07454247772693634
0.0523567870259285,0.07537633180618286
0.05147133022546768,0.07550809532403946
0.05498243495821953,0.07561760395765305
0.04975228011608124,0.07594768702983856
0.044619932770729065,0.07596268504858017
0.04394059255719185,0.07574530690908432
0.03893176466226578,0.0756046250462532
0.03401174023747444,0.07527519762516022
0.024817639961838722,0.07481274008750916
0.015765562653541565,0.0740128681063652
0.011207487434148788,0.07296780496835709
0.006718310993164778,0.07198461145162582
0.0,0.07104450464248657
0.0,0.06989388167858124
